iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CIV,1993-10-31,1993,10,293.424792442029,0.03628818647359755,0.0356452774263707,False
CIV,1993-11-30,1993,11,295.549790938883,0.007242055039619277,0.007215957284191858,False
CIV,1993-12-31,1993,12,294.774791487089,-0.0026222297411615525,-0.0026256738076424666,False
CIV,1994-01-31,1994,1,591.699581453349,1.0072936985836702,0.6967873962199137,False
CIV,1994-02-28,1994,2,582.899587678142,-0.014872401554843373,-0.014984104631145707,False
CIV,1994-03-31,1994,3,570.999596095761,-0.020415165551552428,-0.02062643539549372,False
CIV,1994-04-30,1994,4,569.34959726291,-0.0028896672504375998,-0.0028938503993959784,False
CIV,1994-05-31,1994,5,561.099603098655,-0.01449020813207913,-0.014596216499686369,False
CIV,1994-06-30,1994,6,547.149612966368,-0.024861878453038888,-0.025176154892474507,False
CIV,1994-07-31,1994,7,544.299614982352,-0.005208809284474758,-0.0052224224242983465,False
CIV,1994-08-31,1994,8,541.599616892232,-0.004960499724416478,-0.0049728438420889,False
CIV,1994-09-30,1994,9,528.149626406263,-0.024833825701625845,-0.025147387328895085,False
CIV,1994-10-31,1994,10,511.749638007016,-0.03105178453090829,-0.03154410972777076,False
CIV,1994-11-30,1994,11,538.799618872848,0.05285784074254907,0.051508219994809055,False
CIV,1994-12-31,1994,12,534.599621843773,-0.0077951002227159005,-0.007825640831389034,False
CIV,1995-01-31,1995,1,524.099629271083,-0.019640852974187828,-0.019836297896699606,False
CIV,1995-02-28,1995,2,514.949635743454,-0.01745850028620477,-0.017612697236309663,False
CIV,1995-03-31,1995,3,484.899656999711,-0.05835518011457297,-0.06012712446050282,False
CIV,1995-04-30,1995,4,491.399652401851,0.013404825737263426,0.013315775975770184,False
CIV,1995-05-31,1995,5,488.499654453204,-0.005901505901504844,-0.005918988604240246,False
CIV,1995-06-30,1995,6,485.299656716765,-0.006550665301945591,-0.006572215071667796,False
CIV,1995-07-31,1995,7,476.699662800087,-0.017720997321243104,-0.017879894200389,False
CIV,1995-08-31,1995,8,503.799643630551,0.056849171386615494,0.05529200170772905,False
